x2_m,Q_v0_N,Q_vminus_N,Q_vplus_N
-1.37076e-5,1.0995904272649522e-10,1.1545699486282007e-10,1.0446109059017038e-10
-1.37074e-5,8.367502119894847e-11,8.785877225889597e-11,7.949127013900097e-11
-1.3707200000000002e-5,6.491827530610758e-11,6.816418907141304e-11,6.167236154080212e-11
-1.3707000000000001e-5,5.122164737446497e-11,5.37827297431883e-11,4.866056500574165e-11
-1.37068e-5,4.101666945731581e-11,4.306750293018168e-11,3.8965835984449944e-11
-1.37066e-5,3.327704218105999e-11,3.4940894290113066e-11,3.161319007200692e-11
-1.3706400000000001e-5,2.7313908395960213e-11,2.8679603815758297e-11,2.594821297616213e-11
-1.3706200000000001e-5,2.2654319317550213e-11,2.3787035283427796e-11,2.152160335167263e-11
-1.3706e-5,1.8966921612352586e-11,1.991526769297029e-11,1.8018575531734882e-11
-1.3705600000000001e-5,1.362797431386205e-11,1.4309373029555225e-11,1.2946575598168874e-11
-1.37052e-5,1.0073232481467867e-11,1.0576894105541332e-11,9.5695708573944e-12
-1.3704800000000001e-5,7.625687421550432e-12,8.006971792628026e-12,7.244403050472837e-12
-1.37044e-5,5.891831250093352e-12,6.186422812598092e-12,5.597239687588612e-12
-1.3704000000000001e-5,4.6331656744688536e-12,4.8648239581923694e-12,4.4015073907453385e-12
-1.37036e-5,3.6998648921686736e-12,3.88485813677718e-12,3.5148716475601675e-12
-1.3703200000000001e-5,2.9948385415014444e-12,3.144580468576589e-12,2.8450966144262994e-12
-1.37028e-5,2.4534373495274716e-12,2.5761092170039176e-12,2.3307654820510253e-12
-1.3702400000000001e-5,2.031569496886621e-12,2.1331479717310247e-12,1.929991022042218e-12
-1.3702e-5,1.698516450270748e-12,1.783442272784358e-12,1.613590627757138e-12
-1.3701600000000001e-5,1.432465198527388e-12,1.50408845845383e-12,1.3608419386009459e-12
-1.37012e-5,1.2176586999494133e-12,1.2785416349469566e-12,1.1567757649518702e-12
-1.3700800000000001e-5,1.0425366965089202e-12,1.0946635313344388e-12,9.904098616834018e-13
-1.37004e-5,8.984975527055078e-13,9.434224303408556e-13,8.535726750701599e-13
-1.3700000000000001e-5,7.790581762502752e-13,8.180110850628615e-13,7.401052674376889e-13
-1.36996e-5,6.792742676473048e-13,7.132379810297425e-13,6.453105542648671e-13
-1.3699200000000001e-5,5.953339531600969e-13,6.251006508181743e-13,5.655672555020195e-13
-1.36988e-5,5.242688452896123e-13,5.504822875541655e-13,4.980554030250591e-13
-1.3698400000000001e-5,4.637458696879661e-13,4.86933163172437e-13,4.4055857620349536e-13
-1.3698000000000002e-5,4.119154400406254e-13,4.3251121204272915e-13,3.9131966803852163e-13
-1.36976e-5,3.672994672140953e-13,3.8566444057487256e-13,3.4893449385331804e-13
-1.3697200000000002e-5,3.287078759331949e-13,3.4514326972992716e-13,3.122724821364626e-13
-1.36968e-5,2.9517575728868806e-13,3.0993454515319495e-13,2.804169694241812e-13
