x1_m,x2_m,Vc_V,C_F,Q1_N,Q2_N,Qtranslation_N
-1.3692e-5,-1.3692e-5,3.0,7.046959605439621e-12,-3.644764991296577e-7,-1.1450671584925438e-5,-1.1815148084055095e-5
-1.3690000000000001e-5,-1.3690000000000001e-5,3.0,7.0417450484246975e-12,-3.631469221851833e-7,-1.1287952931969367e-5,-1.1651099854154551e-5
-1.3688e-5,-1.3688e-5,3.0,7.0366024245338465e-12,-3.6183578203292906e-7,-1.1129587744636319e-5,-1.1491423526669248e-5
-1.3686e-5,-1.3686e-5,3.0,7.0315298247855445e-12,-3.605425893045507e-7,-1.0975423066018921e-5,-1.1335965655323473e-5
-1.3684000000000001e-5,-1.3684000000000001e-5,3.0,7.026525408216492e-12,-3.592668720682849e-7,-1.0825307246725904e-5,-1.1184574118794189e-5
-1.3682e-5,-1.3682e-5,3.0,7.021587400729504e-12,-3.5800817553360287e-7,-1.0679092234447458e-5,-1.1037100409981061e-5
-1.3680000000000001e-5,-1.3680000000000001e-5,3.0,7.016714093194611e-12,-3.567660615644269e-7,-1.0536634757742323e-5,-1.089340081930675e-5
-1.3678e-5,-1.3678e-5,3.0,7.011903839172827e-12,-3.5554010809561084e-7,-1.0397796899565842e-5,-1.0753337007661452e-5
-1.3676000000000001e-5,-1.3676000000000001e-5,3.0,7.007155052469518e-12,-3.543299085057438e-7,-1.0262446323722817e-5,-1.061677623222856e-5
-1.3674000000000002e-5,-1.3674000000000002e-5,3.0,7.00246620463606e-12,-3.531350709766947e-7,-1.013045630018621e-5,-1.0483591371162905e-5
-1.3672e-5,-1.3672e-5,3.0,6.997835822488953e-12,-3.5195521785763436e-7,-1.0001705613150186e-5,-1.035366083100782e-5
-1.3671900000000002e-5,-1.3671900000000002e-5,3.0,6.997605812409539e-12,-3.5189661195518736e-7,-9.995351010801368e-6,-1.0347247622756555e-5
-1.3670000000000001e-5,-1.3670000000000001e-5,3.0,6.9932624856865405e-12,-3.507899850438199e-7,-9.8760784014255e-6,-1.022686838646932e-5
-1.3668e-5,-1.3668e-5,3.0,6.9887448243860905e-12,-3.496390213759876e-7,-9.753463961200872e-6,-1.0103102982576859e-5
-1.3666000000000001e-5,-1.3666000000000001e-5,3.0,6.98428151699367e-12,-3.485019880635257e-7,-9.633756529654893e-6,-9.982258517718419e-6
-1.3664000000000002e-5,-1.3664000000000002e-5,3.0,6.9798712880124054e-12,-3.4737855813287426e-7,-9.516855060913555e-6,-9.86423361904643e-6
-1.3662e-5,-1.3662e-5,3.0,6.975512905990912e-12,-3.462684159015992e-7,-9.402663001534476e-6,-9.748931417436075e-6
-1.3660000000000001e-5,-1.3660000000000001e-5,3.0,6.971205181570974e-12,-3.4517125647791496e-7,-9.29108806997275e-6,-9.636259326450664e-6
-1.3658e-5,-1.3658e-5,3.0,6.966946965632014e-12,-3.4408678528501313e-7,-9.182042042741838e-6,-9.526128828026851e-6
-1.3656000000000001e-5,-1.3656000000000001e-5,3.0,6.962737147529065e-12,-3.4301471760936414e-7,-9.075440548859295e-6,-9.418455266468659e-6
