x1_m,linear_N,cubic_N,soft_N,hard_N
-1.3694000000000001e-5,4.4915464125000015e-5,7.79564160884429e-7,1.2719017221745458e-17,0.0
-1.3692e-5,4.490890425000001e-5,7.79222646216e-7,1.2472850980989478e-17,0.0
-1.3690000000000001e-5,4.490234437500002e-5,7.788812313035717e-7,1.2232996421354952e-17,0.0
-1.3688e-5,4.489578450000001e-5,7.785399161325716e-7,1.1999252544246846e-17,0.0
-1.3686e-5,4.4889224625000014e-5,7.781987006884288e-7,1.1771425983474438e-17,0.0
-1.3684000000000001e-5,4.4882664750000015e-5,7.778575849565716e-7,1.154933066925477e-17,0.0
-1.3682e-5,4.487610487500001e-5,7.775165689224287e-7,1.1332787509016698e-17,0.0
-1.3680000000000001e-5,4.486954500000002e-5,7.771756525714289e-7,1.1121624084064292e-17,0.0
-1.3678e-5,4.486298512500001e-5,7.76834835889e-7,1.0915674361216986e-17,0.0
-1.3676000000000001e-5,4.4856425250000014e-5,7.764941188605715e-7,1.0714778418603984e-17,0.0
-1.3674000000000002e-5,4.4849865375000015e-5,7.761535014715718e-7,1.0518782184830982e-17,0.0
-1.3672e-5,4.484330550000001e-5,7.758129837074288e-7,1.0327537190794164e-17,0.0
-1.3670000000000001e-5,4.483674562500002e-5,7.754725655535716e-7,1.0140900333454116e-17,0.0
-1.3668e-5,4.483018575000001e-5,7.751322469954288e-7,9.95873365092361e-18,0.0
-1.3666000000000001e-5,4.4823625875000014e-5,7.747920280184289e-7,9.780904108267054e-18,0.0
-1.3664000000000002e-5,4.4817066000000015e-5,7.744519086080003e-7,9.607283393436701e-18,0.0
-1.3662e-5,4.481050612500002e-5,7.741118887495715e-7,9.437747722812674e-18,0.0
-1.36612e-5,4.4807882175000015e-5,7.739759086774962e-7,9.371050370418546e-18,0.0
-1.3660000000000001e-5,4.480394625000002e-5,7.737719684285717e-7,9.272177655839974e-18,0.0
-1.3658e-5,4.479738637500001e-5,7.734321476304286e-7,9.110457918284977e-18,0.0
-1.3656000000000001e-5,4.4790826500000014e-5,7.730924263405717e-7,8.952477233666672e-18,0.0
-1.3654e-5,4.478426662500001e-5,7.727528045444287e-7,8.798128162435476e-18,0.0
-1.3652e-5,4.477770675000002e-5,7.724132822274288e-7,8.647306948505557e-18,0.0
-1.3650000000000001e-5,4.477114687500002e-5,7.720738593750003e-7,8.499913372760569e-18,0.0
-1.3648e-5,4.476458700000001e-5,7.717345359725717e-7,8.355850613181499e-18,0.0
-1.3646000000000001e-5,4.4758027125000014e-5,7.713953120055717e-7,8.215025111260449e-18,0.0
-1.3644e-5,4.475146725000001e-5,7.710561874594287e-7,8.07734644438326e-18,0.0
-1.3642e-5,4.474490737500002e-5,7.707171623195716e-7,7.942727203885413e-18,0.0
-1.3640000000000002e-5,4.473834750000002e-5,7.703782365714289e-7,7.811082878495664e-18,0.0
-1.3638e-5,4.473178762500001e-5,7.700394102004287e-7,7.682331742903943e-18,0.0
-1.3636000000000001e-5,4.4725227750000014e-5,7.697006831920003e-7,7.556394751200227e-18,0.0
-1.3634e-5,4.471866787500001e-5,7.693620555315716e-7,7.433195434945223e-18,0.0
-1.3632000000000001e-5,4.471210800000002e-5,7.690235272045717e-7,7.31265980565013e-18,0.0
-1.3630000000000002e-5,4.470554812500002e-5,7.686850981964289e-7,7.19471626144902e-18,0.0
-1.3628e-5,4.469898825000001e-5,7.683467684925716e-7,7.079295497764678e-18,0.0
-1.3626000000000001e-5,4.4692428375000015e-5,7.680085380784287e-7,6.966330421775635e-18,0.0
-1.3624e-5,4.468586850000001e-5,7.676704069394287e-7,6.855756070502536e-18,0.0
-1.3622000000000001e-5,4.467930862500002e-5,7.673323750610003e-7,6.747509532344695e-18,0.0
-1.362e-5,4.467274875000001e-5,7.669944424285715e-7,6.6415298719014494e-18,0.0
-1.3618e-5,4.466618887500001e-5,7.666566090275716e-7,6.5377580579272354e-18,0.0
-1.3616000000000001e-5,4.4659629000000015e-5,7.663188748434289e-7,6.436136894271495e-18,0.0
-1.3614e-5,4.4653069125000016e-5,7.659812398615716e-7,6.33661095366717e-18,0.0
-1.3613600000000001e-5,4.4651757150000015e-5,7.659137247681922e-7,6.31695243546689e-18,0.0
-1.3612000000000001e-5,4.464650925000002e-5,7.656437040674289e-7,6.239126514235397e-18,0.0
-1.361e-5,4.463994937500001e-5,7.653062674464287e-7,6.143631498580882e-18,0.0
-1.3566e-5,4.4495632125000015e-5,7.579077230970001e-7,4.458100653972172e-18,0.0
-1.3518400000000001e-5,4.4339507100000016e-5,7.499577072225282e-7,3.262566883528194e-18,0.0
-1.34708e-5,4.418338207500001e-5,7.42063480703384e-7,2.4590020832230983e-18,0.0
-1.34232e-5,4.4027257050000016e-5,7.342248470981761e-7,1.8990743023038096e-18,0.0
-1.3375600000000001e-5,4.3871132025000017e-5,7.264416099655122e-7,1.4970217437018397e-18,0.0
-1.3328e-5,4.371500700000001e-5,7.187135728640002e-7,1.2009026972700603e-18,0.0
-1.32804e-5,4.355888197500001e-5,7.110405393522482e-7,9.780043469312912e-19,0.0
-1.32328e-5,4.340275695000001e-5,7.034223129888641e-7,8.070247017483688e-19,0.0
-1.31852e-5,4.324663192500001e-5,6.958586973324561e-7,6.736861982276592e-19,0.0
-1.3137600000000001e-5,4.309050690000001e-5,6.883494959416322e-7,5.681752257703686e-19,0.0
-1.309e-5,4.293438187500001e-5,6.80894512375e-7,4.835951036960034e-19,0.0
-1.30424e-5,4.277825685000001e-5,6.734935501911682e-7,4.150026676152343e-19,0.0
-1.29948e-5,4.262213182500001e-5,6.661464129487441e-7,3.587920117268868e-19,0.0
-1.29472e-5,4.246600680000001e-5,6.588529042063362e-7,3.122907627729481e-19,0.0
-1.2899600000000001e-5,4.230988177500001e-5,6.516128275225523e-7,2.734898566845039e-19,0.0
-1.2852e-5,4.215375675000001e-5,6.44425986456e-7,2.4085913713144507e-19,0.0
-1.28044e-5,4.199763172500001e-5,6.372921845652881e-7,2.1321929008957765e-19,0.0
-1.2756800000000001e-5,4.1841506700000014e-5,6.302112254090242e-7,1.8965146833700904e-19,0.0
-1.27092e-5,4.1685381675000014e-5,6.231829125458161e-7,1.694325723946951e-19,0.0
-1.2661600000000001e-5,4.1529256650000014e-5,6.162070495342721e-7,1.5198827627086436e-19,0.0
-1.2614e-5,4.137313162500001e-5,6.09283439933e-7,1.3685850687201455e-19,0.0
-1.25664e-5,4.1217006600000015e-5,6.02411887300608e-7,1.236717824492465e-19,0.0
-1.2518800000000001e-5,4.1060881575000015e-5,5.955921951957042e-7,1.1212593228673725e-19,0.0
-1.24712e-5,4.090475655000001e-5,5.88824167176896e-7,1.0197346653737283e-19,0.0
-1.24236e-5,4.0748631525000016e-5,5.821076068027921e-7,9.301037155937612e-20,0.0
-1.2376e-5,4.059250650000001e-5,5.75442317632e-7,8.506745422715633e-20,0.0
-1.23284e-5,4.043638147500001e-5,5.688281032231282e-7,7.800360097855065e-20,0.0
-1.2280800000000001e-5,4.028025645000002e-5,5.622647671347842e-7,7.170048796905169e-20,0.0
-1.22332e-5,4.012413142500001e-5,5.557521129255761e-7,6.605840015746001e-20,0.0
-1.21856e-5,3.996800640000001e-5,5.492899441541122e-7,6.099290450023117e-20,0.0
-1.2138e-5,3.981188137500001e-5,5.42878064379e-7,5.643218586770083e-20,0.0
