t_s,t_ms,deltaE_nJ,Wbase_nJ,Wbias_nJ,Dfilm_nJ,Dwall_nJ,ER_pJ,residual_aJ
0.06,60.0,0.06285433938077892,0.06495808108977194,0.0006288385649057028,0.0027325776345941168,7.23090293276311e-21,2.639294952747569e-6,-9.659595473544048e-6
0.06005,60.05,0.06331789712668184,0.06542346897394842,0.0006341777335700799,0.0027397469149257943,7.266812606188838e-21,2.6659012395187786e-6,-9.622033072681043e-6
0.0601,60.1,0.06377928963486673,0.06588661187986912,0.0006395032332506596,0.002746822785871771,7.302485169789252e-21,2.6923714727860242e-6,-9.793689205657137e-6
0.06055,60.55,0.06782242416350505,0.06994194843148857,0.000686657680695462,0.0028061790256874537,7.611260000682687e-21,2.9229815966172002e-6,-9.935456976656215e-6
0.0606,60.6,0.06825817884802456,0.07037867014108916,0.0006917928101190788,0.0028122811555803527,7.64402584505569e-21,2.9475932265907718e-6,-1.0104689728931469e-5
0.06065,60.650000000000006,0.06869097231185367,0.07081235442299268,0.000696903393321259,0.0028182825324800658,7.676447902922931e-21,2.9719701308120987e-6,-1.00651078441511e-5
0.0607,60.699999999999996,0.06912073263367059,0.07124292988266705,0.0007019884053249677,0.0028241826582075095,7.70851671934841e-21,2.996103708897821e-6,-1.0193547021295562e-5
0.06075,60.75,0.06954738801200418,0.0716703252820838,0.0007070468159783938,0.002829981066062481,7.74022292262562e-21,3.0199854485405333e-6,-1.0088533857592541e-5
0.0608,60.8,0.06997086677612654,0.07209446955112489,0.0007120775901635193,0.0028356773215446225,7.771557234739026e-21,3.0436069544955473e-6,-1.0279173139391873e-5
0.06125,61.25,0.07362748092972125,0.07575383817649564,0.0007559379635598366,0.002882291967155229,8.035360874960695e-21,3.24316851635389e-6,-1.0479909840778031e-5
0.0613,61.3,0.07401528813977717,0.0761416073011472,0.000760634517243603,0.0028869504148473107,8.062494669587668e-21,3.2637557436844823e-6,-1.0572402204193385e-5
0.06135,61.35,0.07439914207748008,0.07652535783919813,0.0007652917888643001,0.0028915042665717526,8.089163962158413e-21,3.2840000320730845e-6,-1.0574017791327277e-5
0.0614,61.400000000000006,0.07477897348599608,0.07690502161816963,0.0007699087029374607,0.002895953531205292,8.115361504183058e-21,3.303894999948653e-6,-1.0720228426944561e-5
0.06195,61.949999999999996,0.07867211923573313,0.08079243820374783,0.0008177226338794876,0.0029380381037772754,8.370601114805604e-21,3.4981057733562376e-6,-1.1146339533508742e-5
0.062,62.0,0.07899838844255803,0.08111786961477756,0.0008217711179355202,0.002941248776740066,8.390675869658804e-21,3.5134035429004414e-6,-1.143754911439289e-5
0.06205,62.050000000000004,0.07931976359781648,0.08143836087621431,0.0008257652381456474,0.0029443589882387055,8.410212002709935e-21,3.5282932377904428e-6,-1.1549024626631481e-5
0.0621,62.1,0.07963618027113527,0.08175384927159256,0.0008297039271997949,0.002947369384872795,8.429206920212828e-21,3.542772537425896e-6,-1.1757839263687104e-5
0.06255,62.55,0.08225038960148483,0.08435801262044654,0.0008624835556023736,0.002970102920136915,8.575598339818909e-21,3.654415181718832e-6,-1.198119418494776e-5
0.0626,62.6,0.08251377811714462,0.08462013350908423,0.000865810148882258,0.00297216187606559,8.589137700230591e-21,3.6647440021040093e-6,-1.227159597226496e-5
0.06265,62.65,0.08277153036014141,0.08487659566037556,0.0008690698751375442,0.002974131500697737,8.602137842758502e-21,3.6746617793911625e-6,-1.2169410086046252e-5
0.0627,62.7,0.08302358783536694,0.0851273428490101,0.0008722617332043775,0.0029760130626641907,8.614601984167576e-21,3.6841709069204817e-6,-1.2435981963138536e-5
0.06275,62.75,0.08326989262062222,0.0853723194680611,0.0008753847301874524,0.002977807884339814,8.626533884057778e-21,3.693274180465057e-6,-1.2346720773990968e-5
0.0628,62.8,0.08351038737909315,0.08561147054118767,0.0008784378819051673,0.0029795173420123144,8.637937851635211e-21,3.701974854984158e-6,-1.2513530145565382e-5
0.06325,63.25,0.08540423439094097,0.08749293742747903,0.000902615711179162,0.002991314984788114,8.717806601516495e-21,3.7629161702703217e-6,-1.292873603897579e-5
0.0633,63.3,0.08558361317438287,0.08767095684393285,0.0009049185188626723,0.0029922584205333727,8.724292791379474e-21,3.7678660611820947e-6,-1.3211867684190473e-5
0.06335,63.35,0.08575659349413277,0.08784259111504238,0.0009071413594617984,0.0029931352078801216,8.730336039539797e-21,3.7724781789029288e-6,-1.3104431139786612e-5
0.0634,63.4,0.08592312603755858,0.08800779379766883,0.0009092833887338971,0.002993947372069712,8.735947545863012e-21,3.7767610994407384e-6,-1.3341114654901883e-5
0.06395,63.95000000000001,0.08731611093243018,0.08938807628184102,0.0009272862972815587,0.0029992478416539015,8.77295034022272e-21,3.8050243261933526e-6,-1.4182027758092998e-5
0.064,64.0,0.08740171256224098,0.08947277933368294,0.0009283985324751861,0.0029994614977232113,8.774459374822502e-21,3.8061795562567417e-6,-1.4389630704798201e-5
0.06405,64.05,0.0874802991673766,0.0895505240492342,0.0009294204809916541,0.0029996415556799855,8.775732653601373e-21,3.8071549436446957e-6,-1.4336720226163217e-5
0.0641,64.10000000000001,0.0875518332957108,0.08962127630336168,0.0009303515450450159,0.0029997907447166057,8.77678882505626e-21,3.807964682881883e-6,-1.4612177832491912e-5
0.0645,64.5,0.08786604592753403,0.0899318012379932,0.0009344635693783116,0.0030002150695364253,8.77980065316858e-21,3.810285640952289e-6,-1.5428453231891164e-5
0.06455,64.55,0.08787258546363151,0.08993825237046993,0.0009345533559440236,0.0030002164524731982,8.77981053255767e-21,3.8102938693353063e-6,-1.536302195296851e-5
0.0646,64.60000000000001,0.08787175320526877,0.0899374261233602,0.0009345474961927779,0.003000216603974108,8.779811604814046e-21,3.810294616281946e-6,-1.5480959813742676e-5
0.06465,64.65,0.0878635230856266,0.08992929995128436,0.0009344456439829528,0.0030002186993199503,8.779826453104413e-21,3.8103050206195277e-6,-1.57438966197837e-5
0.0647,64.69999999999999,0.08784787016794032,0.089913852447588,0.0009342474782447976,0.0030002259475343882,8.779877891797105e-21,3.8103423931486984e-6,-1.5698660180034708e-5
0.06475,64.75,0.08782477066161466,0.0898910633588231,0.0009339527033055179,0.0030002415900738646,8.779988942405279e-21,3.8104242235438048e-6,-1.5871124106577745e-5
0.0652,65.19999999999999,0.08727844143428573,0.08935283797468266,0.000926916488386211,0.003001309212666569,8.787539489068079e-21,3.816099801829441e-6,-1.6770198346588994e-5
0.06525,65.25,0.0871798313428616,0.08925578320395251,0.000925645158378917,0.0030015932018438198,8.789540194070183e-21,3.817609081434774e-6,-1.692650640179311e-5
0.0653,65.3,0.08707359326842878,0.08915124433254756,0.0009242757251946143,0.003001922969936315,8.791860049579751e-21,3.819360150962074e-6,-1.692569860822616e-5
0.06535,65.35000000000001,0.08695971844524135,0.08903921607943459,0.0009228082192240342,0.0030023020320292444,8.794522519989074e-21,3.8213709038404705e-6,-1.7130070380663578e-5
0.0654,65.4,0.08683819946560548,0.08891969450521976,0.0009212426994192007,0.0030027339153571877,8.79755092753277e-21,3.8236591095872066e-6,-1.7188231517483714e-5
0.06595,65.94999999999999,0.08499626521282497,0.08711065652265387,0.0008975988851965186,0.0030119863229439354,8.861459583636673e-21,3.8720627930573185e-6,-1.8704056145858476e-5
0.066,66.0,0.08478295464818923,0.08690141528803699,0.0008948723494729233,0.003013329110300055,8.87060882774149e-21,3.879001886833793e-6,-1.8751312069524834e-5
0.06605,66.05,0.0845620344221072,0.08668475793591768,0.0008920512115551456,0.0030147708389158365,8.880401763968888e-21,3.886430813638963e-6,-1.8973859197218546e-5
0.0666,66.60000000000001,0.08163461600979913,0.08381783770764471,0.0008549292538911151,0.0030381469475044953,9.03549197330636e-21,4.004212070207139e-6,-2.0139505314322078e-5
0.06665,66.65,0.08132387675683207,0.08351390612645745,0.0008510175741723213,0.0030410429252835484,9.054285936301058e-21,4.0184938132380536e-6,-2.0337010841440456e-5
0.0667,66.69999999999999,0.08100582760078212,0.08320289354332677,0.0008470195987041412,0.0030440815078157843,9.073917166465878e-21,4.033412605012435e-6,-2.0409308365682148e-5
0.06675,66.75,0.080680503403152,0.08288483711981282,0.000842936161074818,0.0030472658287391185,9.094395855103583e-21,4.048976002065842e-6,-2.0517552703652956e-5
0.06725,67.25,0.0770360575993096,0.07932624053420574,0.0007976033342780106,0.0030877820278736212,9.347501297401647e-21,4.241278186958279e-6,-2.2352859687754987e-5
0.0673,67.3,0.07663351183478619,0.0789336370502816,0.0007926421903614831,0.0030927631415837158,9.377760214981422e-21,4.264250696980663e-6,-2.247887548419861e-5
0.06735,67.35,0.07622424717097202,0.07853456775722756,0.000787607561267692,0.003097923859591805,9.408930081188195e-21,4.287908770168189e-6,-2.264528095898955e-5
0.0674,67.4,0.0758083216158003,0.07812909197421891,0.0007825005977734896,0.0031032666439178938,9.441011232129536e-21,4.312251506187885e-6,-2.2705865476510527e-5
0.06795,67.95,0.07081192593171493,0.07326472429997404,0.0007218995146530691,0.003174693258602603,9.85341012425473e-21,4.624285195315457e-6,-2.4387287786109283e-5
0.068,68.0,0.07032125366986455,0.07278762584988158,0.0007160215994564717,0.0031823891229169773,9.896188493463617e-21,4.656532001498711e-6,-2.4514111376119854e-5
0.06805,68.05,0.06982483926799818,0.07230504889070578,0.0007100880753533168,0.003190293008644336,9.939817669117706e-21,4.6893918321169875e-6,-2.4760892310821955e-5
0.0686,68.6,0.06401035592509488,0.06666014214399635,0.0006415597010428811,0.00329134083184443,1.0472875556410748e-20,5.0880736632880635e-6,-2.625046364827096e-5
0.06865,68.65,0.06345202628556913,0.06611879613558232,0.0006350718934776533,0.003301836616105061,1.0525846937733134e-20,5.127359309401944e-6,-2.6463317253161317e-5
0.0687,68.7,0.06288917130924317,0.0655731829311879,0.0006285476362724346,0.003312554091103005,1.0579510540571555e-20,5.167087610676372e-6,-2.6545308300206366e-5
0.06875,68.75,0.062321896293409035,0.0650234068198802,0.0006219884670991906,0.0033234937863013863,1.0633851305822987e-20,5.207242222653521e-6,-2.674806448550989e-5
0.0692,69.2,0.057035667016212994,0.05990603399628734,0.0005616412106996824,0.0034320026057970254,1.1150775099501496e-20,5.584949042914723e-6,-2.796177431984673e-5
0.06925,69.25,0.05643032388660939,0.059320688811484557,0.0005548185624463091,0.0034451778588988073,1.1211004347706982e-20,5.628394364076234e-6,-2.8303470998665024e-5
0.0693,69.3,0.055821819780250775,0.058732423739485284,0.00054797819662777,0.003458576483768588,1.1271730219607313e-20,5.67206561680842e-6,-2.8074865419219217e-5
0.06935,69.35,0.05521027775680422,0.05814135996870618,0.000541121687296651,0.0034721981832268353,1.1332935517089872e-20,5.715943241200922e-6,-2.8541366204130713e-5
0.0694,69.4,0.054595822206187014,0.057547619956003666,0.0005342506080114328,0.003486042597791945,1.1394603002239754e-20,5.760007537455281e-6,-2.859993123773432e-5
0.0699,69.9,0.04831928653092147,0.05149082456925241,0.0004650833140595718,0.0036366151458330363,1.203291628398405e-20,6.2065272946340684e-6,-3.017916766111437e-5
0.06995,69.95,0.04768134560997376,0.050876065922905,0.0004581551923879857,0.003652869253962567,1.209853796878978e-20,6.251326240691782e-6,-3.0419890144064373e-5
0.07,70.0,0.04704207775541517,0.050260190293816544,0.0004512311709303741,0.0036693374132292594,1.2164418742453274e-20,6.296072177667363e-6,-3.0314069186794404e-5
0.07005,70.05,0.04640162214310441,0.049643334295164265,0.0004443127745593239,0.00368601858584292,1.2230542510156478e-20,6.340745441825346e-6,-3.082459472110448e-5
0.0706,70.6,0.03931889275124322,0.04283312524684526,0.0003690105244487346,0.003883236198121128,1.2969561207451617e-20,6.821897539987486e-6,-3.21017163504466e-5
0.07065,70.65,0.038675347572342055,0.04221545807626833,0.00036227584667345835,0.003902379486337404,1.3037429566486845e-20,6.864229743307572e-6,-3.2585584697047446e-5
0.0707,70.7,0.03803249728789178,0.041598657516878225,0.00035556590383952434,0.003921719226541764,1.3105353905494661e-20,6.906251571774362e-6,-3.26388990724659e-5
