t_s,t_ms,tau_us,x1_um,x2_um,tip_overlap_nm,bend_nm,v1_mm_s,v2_mm_s,Vout_mV,C_pF,PR_pW,Qe2_uN,Qwall2_uN,Qbend2_uN,Qfilm2_uN,ER_pJ,Wbase_nJ,Wbias_nJ,Dfilm_nJ,Dwall_nJ,Dstruct_nJ,deltaE_nJ,residual_aJ,a_g
0.3694,369.40000000000003,369400.0,-13.726920027973447,-13.7156670090056,5.667009005598755,11.253018967848472,-0.001507278561150504,-0.0001552918278774773,8.03966173634145e-5,7.115395741790462,1.53895621035221e-8,-13.146224425618119,34.16230881293421,-20.34271884309139,0.0038380078336232933,0.237953820577654,2.3014841927293395,0.013207567428088336,1.995242232256871,0.0007044192905795305,0.0,0.3185071554508082,0.6614086547137256,3.2029270097687657
0.36945,369.45,369450.0,-13.727181607431124,-13.715709103406468,5.709103406466856,11.472504024656295,-0.005311209594637474,-0.0009255174189722647,0.004204982229864631,7.115540930959298,4.2099703698755535e-5,-13.14644555274706,34.54448545628908,-20.739494394048734,0.0174367057263337,0.23795382218188016,2.30150150598184,0.013208786084599838,1.9952422342183949,0.0007044193575749305,0.0,0.3185256853297067,0.66141816729077,3.1791506332240966
0.3695,369.5,369500.0,-13.727130749260242,-13.715704866195011,5.704866195010993,11.425883065230416,0.008970019543327355,0.0013947308917320262,-0.005357258901331338,7.115524232993401,6.833386413308059e-5,-13.146485679634498,34.50208129505554,-20.655215048878734,-0.02770766829197762,0.23795382316263128,2.3014981965099484,0.013208839924192578,1.9952422354819186,0.0007044193998386105,0.0,0.3185224283906708,0.6614504273346595,3.155248749256033
0.36955,369.55,369550.0,-13.726357423340783,-13.715578261599962,5.578261599961291,10.779161740820172,0.019177307633254374,0.003231068629802152,-0.013820477183142535,7.115088712044427,0.00045477521326134146,-13.14578989011176,33.35836190030403,-19.486100333094633,-0.06178141389793058,0.23795383698454198,2.3014477758715226,0.013205100878298954,1.9952422522306956,0.0007044199688649138,0.0,0.31846825137469503,0.6614185808810763,3.131222301469973
0.3696,369.59999999999997,369600.0,-13.725555140231133,-13.715439171998167,5.439171998166374,10.115968232966697,0.010086717509224652,0.0018278554124824804,-0.008468272093306,7.114614306740489,0.00017074198153872665,-13.144912213200659,32.12245280234593,-18.28720791965669,-0.033802175879037166,0.23795385525606078,2.3013958208880965,0.013200716974269196,1.9952422708073996,0.0007044206186424398,0.0,0.3184118932424364,0.6613693636346294,3.10707223838899
0.36965,369.65,369650.0,-13.725433992100523,-13.715413570434693,5.413570434692941,10.020421665829913,-0.003845896712466007,-0.0005967277957721163,0.002192739155341893,7.114529241565998,1.1447869055641616e-5,-13.144682874986726,31.900111978432687,-18.114482986264193,0.011852854313923356,0.23795385737968422,2.301388006137896,0.01319972384130924,1.9952422725141412,0.0007044206815207401,0.0,0.318403083587547,0.6613830121147365,3.082799513416167
0.3697,369.7,369700.0,-13.725648880842112,-13.715450588345318,5.4505883453176525,10.198292496793794,-0.0013829763688715886,-0.0003056337226035335,0.0017286457344621968,7.114655610708647,7.114800179224637e-6,-13.144912143726382,32.22693419884851,-18.436030147521407,0.005202694073965284,0.2379538586486841,2.3014017055761458,0.013200871068356518,1.995242273873766,0.0007044207274346453,0.0,0.3184179288461544,0.6615017125326378,3.058405084797181
0.36975,369.75,369750.0,-13.725356728207059,-13.715405316963478,5.405316963476468,9.951411243582049,0.013263618297772846,0.0021834567973102368,-0.008838475617422844,7.114498576000275,0.0001859967886661384,-13.144707751228076,31.822867718513553,-17.98972894283439,-0.04217104631510207,0.23795386114386916,2.301383271335192,0.013199683296104983,1.9952422773836638,0.0007044208368845257,0.0,0.3183983032111112,0.6615066756163132,3.033889915582219
0.3698,369.8,369800.0,-13.724504686716879,-13.715260285232262,5.260285232260256,9.244401484616638,0.017659378898938597,0.003089537013240605,-0.01340797338491283,7.114002655595231,0.000428032738786978,-13.143841511658437,30.551170240282165,-16.711627414075927,-0.05799487016136373,0.23795387918254832,2.3013298516491725,0.013195317521568214,1.9952422976381918,0.0007044214990504662,0.0,0.3183404968157351,0.6614194080616888,3.009254973588298
0.36985,369.85,369850.0,-13.72388192933021,-13.715147943455731,5.1479434557301085,8.733985874478883,0.005614767081482546,0.0010863569065557254,-0.005268072439574924,7.1136217112064,6.607758863954497e-5,-13.143077763921244,29.582151258177408,-15.788920247241515,-0.019502799418068963,0.23795389200725509,2.3012910886769538,0.013191715294217149,1.9952423097657965,0.0007044219065487101,0.0,0.3182981190682697,0.6614516681055783,2.9845012313606607
0.3699,369.90000000000003,369900.0,-13.723901862204503,-13.715147716589867,5.147716589866164,8.754145614636563,-0.004126847468905908,-0.0006993417147383262,0.002860691355881375,7.113622739069669,1.94846548419391e-5,-13.143020550392745,29.58284007714593,-15.825364149731081,0.013313199176023534,0.23795389274265444,2.301292294269629,0.013191551070125627,1.9952423104050812,0.0007044219279464941,0.0,0.3182991597754386,0.661454149647416,2.9596296661347226
0.36995,369.95,369950.0,-13.723994897797475,-13.715165942770737,5.165942770735485,8.82895502673821,0.0030433904050983893,0.0004436586278698965,-0.0013788803111458216,7.1136838624039855,4.52693074396571e-6,-13.143165298784849,29.73814490660311,-15.960601355102266,-0.009075959642897742,0.23795389334288944,2.3012980020546867,0.013192191656527779,1.9952423110000266,0.0007044219472587241,0.0,0.31830550753216014,0.6615740908362362,2.934641259797263
0.37,370.0,370000.0,-13.723498461177448,-13.715083349877494,5.08334987749375,8.415111299952226,0.01583096811369282,0.0027224141912163932,-0.011281793933757268,7.113400539028897,0.0003030449389613388,-13.142706533099291,29.025633198082264,-15.212472643772632,-0.05146534534790519,0.2379538994813648,2.301267926537005,0.013189853075153262,1.9952423187325317,0.000704422181021152,0.0,0.31827308546059063,0.6614665573566043,2.909536998847749
0.37005,370.05,370050.0,-13.722654924642736,-13.7149341699685,4.9341699684978035,7.720754674237856,0.014914441841080987,0.002714872872168268,-0.01194109786888825,7.112893349673262,0.00033949956741516075,-13.141742334760535,27.759416789919282,-13.957244899635477,-0.04999977256618808,0.23795391884498907,2.3012172070692447,0.013185302422461789,1.995242339050497,0.0007044228139663697,0.0,0.31821779436982733,0.6614289206387332,2.884317874359475
0.3701,370.09999999999997,370100.0,-13.722215194052472,-13.714851187210337,4.851187210335868,7.364006842134775,0.0022256269733967795,0.0004896360962928052,-0.002621455425727165,7.112613745826634,1.6361972735891407e-5,-13.141128890781989,27.066296684947268,-13.312331666387555,-0.008327830227985689,0.23795392664605655,2.3011909672428144,0.013182587116775021,1.9952423458800117,0.0007044230333825408,0.0,0.3181888321809827,0.6614334701321022,2.8589848819402355
0.37015,370.15,370150.0,-13.722295765190582,-13.714863393230855,4.8633932308539904,7.432371959726372,-0.0027759976836575473,-0.0005109542433954675,0.0022606146102531885,7.112656218659364,1.2167567657357562e-5,-13.141176545697508,27.169690677585496,-13.435919156092696,0.009361623293668873,0.2379539269914586,2.3011957142751704,0.013182865199146012,1.995242346244817,0.0007044230441712021,0.0,0.3181938569197766,0.6614392603963901,2.8335390216932512
