travel_um,C_pF,Q1_uN,Q2_uN,D_path
-0.3,6.641079708050065,0.26140889131135614,3.6396560774409803,0.007893941682476924
-0.29,6.6498553720442075,0.26362487415471336,3.7341757324070084,0.007979375561643659
-0.28,6.6588512494807786,0.2658972304971671,3.833417415886391,0.008067102990410815
-0.27,6.668078355691254,0.2682287839608486,3.937741201368291,0.008157243701367868
-0.26,6.677548553470934,0.27062257541414597,4.047544644504665,0.00824992735371239
-0.25,6.687274642299729,0.2730818858435088,4.163267785911748,0.008345294692951304
-0.24,6.6972704596216674,0.275610262316512,4.285398976774244,0.008443498888623842
-0.22999999999999998,6.707550996193042,0.2782115475514374,4.414481689510468,0.008544707084393732
-0.22,6.718132527911198,0.28088991371169014,4.551122513369064,0.008649102202940611
-0.21,6.729032767032501,0.2836499011706511,4.696000582534141,0.008756885058432511
-0.19999999999999998,6.740271036304845,0.28649646315070937,4.849878745217135,0.008868276842731521
-0.19,6.751868470311154,0.2894350173378663,5.013616860488617,0.008983522068909337
-0.18,6.7638482492901115,0.2924715058219267,5.188187710930583,0.009102892078576216
-0.16999999999999998,6.7762358719286135,0.2956124650271465,5.374696151353956,0.00922668925000667
-0.16,6.789059475187022,0.2988651076998102,5.574402287593845,0.009355252085019635
-0.15,6.802350211231712,0.3022374195353512,5.788749709797942,0.0094889614083201
-0.14,6.816142694157977,0.30573827369634105,6.019400112852064,0.009628247989858119
-0.13,6.83047553259493,0.30937756734646255,6.2682760528095365,0.00977360200820647
-0.12,6.845391968778391,0.31316638547772907,6.537614155783276,0.00992558492552702
-0.11,6.860940650660541,0.3171171988418971,6.830031877656666,0.010084844565030261
-0.09999999999999999,6.877176571669323,0.3212441048591759,7.148612001171426,0.01025213450598232
-0.09,6.89416222365859,0.3255631231787502,7.49701058635391,0.010428339397972866
-0.08,6.911969023589124,0.3300925614106882,7.879596257188636,0.010614508543175163
-0.07,6.93067909526137,0.33485347187598374,8.301631787832278,0.010811901269797308
-0.06,6.950387516390968,0.3398702276480556,8.769513286838242,0.011022049513307068
-0.049999999999999996,6.971205181570974,0.34517125647791497,9.29108806997275,0.011246846147870347
-0.04,6.99326248568654,0.3507899850438199,9.8760784014255,0.011488672844698712
-0.03,7.016714093194611,0.3567660615644269,10.536634757742323,0.011750589738301443
-0.02,7.041745048424698,0.3631469221851833,11.287952931969366,0.012050928074797343
-0.01,7.068577606573085,0.3699895421160792,12.147778754444127,0.012616379474180862
0.0,7.097445684153009,0.37735388596944686,13.052709118610217,0.013468200913937252
0.01,7.098284679542945,0.377742063262886,13.059939871600973,0.0005790631049654905
0.02,7.099124538204813,0.378130830913937,13.067178647576299,0.0005799783339710919
0.03,7.099965261451891,0.3785201901599461,13.074425459926749,0.0005808955592081647
0.04,7.100806850600217,0.3789101422415227,13.0816803220727,0.0005818147860737375
0.049999999999999996,7.1016493069685795,0.3793006884025487,13.088943247464417,0.0005827360199824149
