t_s,tau_us,x1_um,v1_mm_s,Vout_mV,PR_pW,C_pF
0.3693315160052577,19331.516005257676,-13.727574188805036,0.01896941578328257,-0.014002509571748834,0.0004668339864450421,7.115790146444556
0.36933333333333335,19333.333333333314,-13.727539956826934,0.018698617699651875,-0.013867991747532647,0.00045790760740388947,7.115770363821859
0.3693356055482325,19335.605548232492,-13.727497891542406,0.018319838435149942,-0.013669177268288198,0.00044487239807592093,7.115746000923348
0.3693916666666667,19391.66666666664,-13.726917636389283,0.0009920861972707174,-0.0018482916397986725,8.133766632737298e-6,7.115396901941403
0.3693948883241335,19394.88832413344,-13.726916075810726,-1.5444606438785253e-5,-0.0010790822377548274,2.7724249424713476e-6,7.115394989389183
0.36939583333333337,19395.833333333336,-13.72691622601199,-0.00030169649495925886,-0.0008586301569960168,1.7553470154833438e-6,7.115394785766503
0.3693986202255128,19398.620225512754,-13.726918215035525,-0.0011187563409868523,-0.00022421443014790328,1.1969550163464047e-7,7.11539509745345
0.3694,19399.999999999975,-13.726920027973447,-0.001507278561150504,8.03966173634145e-5,1.53895621035221e-8,7.115395741790462
0.36940367305543786,19403.67305543783,-13.726927386077946,-0.002485119050911927,0.000856847466951444,1.7480656705264424e-6,7.115398962172133
0.36941609114075674,19416.091140756707,-13.726975589341361,-0.005082694836029354,0.003028486559258727,2.1837454380025628e-5,7.115423888852131
0.36941666666666667,19416.66666666664,-13.726978540818155,-0.005173464127521104,0.0031095427317191578,2.302203809616058e-5,7.115425482998556
0.3694202305025297,19420.230502529666,-13.726997899569591,-0.00567219012266525,0.0035684897867984157,3.031933180591572e-5,7.115436033419392
0.3694326485878486,19432.648587848544,-13.72707504509316,-0.0065161620099862885,0.004548368329128229,4.925632013670647e-5,7.115479172041623
0.36943333333333334,19433.333333333303,-13.72707950894633,-0.006521099067550073,0.004573030701684504,4.979192809178351e-5,7.115481709188985
0.36943687885045035,19436.878850450314,-13.727102585299171,-0.006476525051974808,0.004650345435971667,5.1489792080625035e-5,7.115494889267161
0.36943750000000003,19437.499999999996,-13.727106602200585,-0.006456643676008439,0.004655174912996435,5.15967939775985e-5,7.115497194530225
0.36944143267594676,19441.432675946722,-13.72713163041662,-0.006247940026389219,0.004625459145100365,5.094017214998239e-5,7.115511634359416
0.36947083333333336,19470.833333333325,-13.727248845313868,-0.0006446301283509908,0.0013483761814587385,4.328853158869641e-6,7.11558332762952
0.36947500000000005,19475.000000000022,-13.727248960964918,0.0006022152255229461,0.0005218734233294405,6.484568332799746e-7,7.1155844784711695
0.3694763791438867,19476.37914388667,-13.72724783542512,0.0010312563605878384,0.00023387974681739524,1.3023746659849739e-7,7.115584209611772
0.3694791666666667,19479.166666666657,-13.727243728795507,0.0019196356546180258,-0.0003677123697907353,3.219342545169488e-7,7.1155826392866235
0.36949702381203453,19497.0238120345,-13.727155950514124,0.007962909888821734,-0.004622116723083766,5.086657857573956e-5,7.115537762997337
0.36950000000000005,19500.00000000002,-13.727130749260242,0.008970019543346,-0.00535725890134502,6.833386413342965e-5,7.115524232993401
0.3695039053680838,19503.905368083775,-13.727093178233272,0.010264600421146592,-0.006314102796556783,9.492355744163377e-5,7.115503872451119
0.36955000000000005,19550.00000000001,-13.726357423340783,0.019177307633255033,-0.013820477183144836,0.0004547752132614928,7.115088712044427
0.36955111397287876,19551.11397287873,-13.726336055005556,0.01918502671812957,-0.013862677513989929,0.00045755673299257616,7.115076374011923
0.3695541666666667,19554.16666666665,-13.726277522543128,0.019149125715681527,-0.013937249208823424,0.00046249265597345026,7.115042508659746
0.3695583333333334,19558.333333333343,-13.726198062509155,0.018966051743837732,-0.013941290600152036,0.00046276091332830366,7.114996372709488
0.3695584725102395,19558.472510239455,-13.726195423480256,0.018957290549912718,-0.0139394797784741,0.00046264070593925795,7.114994837185233
0.36958213833241493,19582.1383324149,-13.725782883384515,0.01519283877547978,-0.011888066935019266,0.00033649079869404374,7.1147519158564565
0.3695833333333334,19583.333333333343,-13.725764903323036,0.014897909582363799,-0.011700742849637874,0.00032596996007940916,7.114741173634757
0.3695875,19587.499999999978,-13.725705067565428,0.013807869834048735,-0.010994740394761403,0.0002878198008290432,7.114705300468405
0.3696294699767658,19629.46997676579,-13.72539784152207,0.0007616877522064453,-0.0015894969614013478,6.015477595962185e-6,7.114513070028593
0.36963333333333337,19633.333333333336,-13.725396962800637,-0.0002948255798396514,-0.0007582826798644226,1.3690300537675487e-6,7.11451145270466
0.36963735858415764,19637.358584157606,-13.725400229613347,-0.0013133816622494022,5.81118906077969e-5,8.04045673812513e-9,7.114512285142383
0.3696375,19637.499999999975,-13.72540041775759,-0.0013474971540710138,8.575477346578803e-5,1.750924088611577e-8,7.11451235877014
0.36966268497285015,19662.68497285012,-13.725492573766292,-0.005171197342550498,0.0035060877068471587,2.9268216685963733e-5,7.11456181484246
0.3696666666666667,19666.666666666664,-13.725513484421237,-0.005309541159107049,0.0037216857486133195,3.2978440027217824e-5,7.11457377209771
0.36967083333333334,19670.833333333303,-13.725535657028038,-0.005308440806464326,0.003841547984467641,3.513688313563666e-5,7.114586591704628
0.3696722101470461,19672.210147046066,-13.725542944827625,-0.005275303390221714,0.0038571799629837323,3.5423422063912346e-5,7.1145908361125025
0.36967500000000003,19674.999999999996,-13.725557514716971,-0.005158569244635899,0.0038522577458019857,3.533307080974142e-5,7.114599368505765
0.36970075530475727,19700.755304757233,-13.725649857530072,-0.0012026864791688672,0.0016120989479339394,6.187769090308843e-6,7.114656335752009
0.3697041666666667,19704.16666666669,-13.72565252374687,-0.00035035286682514244,0.001053936118651516,2.6447174814243394e-6,7.114658632588971
0.3697083233646886,19708.323364688586,-13.725651690181516,0.0007643665298245199,0.00030869231330566825,2.268832007000116e-7,7.1146591314181915
0.36970833333333336,19708.33333333333,-13.72565168254787,0.0007671303777704225,0.0003068256938167265,2.2414763425265624e-7,7.114659129426108
0.36971250000000005,19712.500000000022,-13.725646032570923,0.0019554536865194253,-0.0005033657447456205,6.032787451983647e-7,7.1146568990849985
0.3697458333333334,19745.83333333335,-13.725409684654487,0.012142713661524899,-0.007956913827746248,0.00015074399443376057,7.114528448573711
0.36975,19749.99999999999,-13.725356728207059,0.013263618297772846,-0.008838475617422844,0.0001859967886661384,7.114498576000275
0.36975093588488167,19750.935884881637,-13.725344201975972,0.013504406093944096,-0.009030152183678131,0.0001941515439533022,7.114491485191494
0.36978528127923654,19785.28127923651,-13.724772119678887,0.018388652040185662,-0.013494927465563694,0.00043360254119244123,7.114160858515999
0.36978750000000005,19787.500000000015,-13.72473130980689,0.01839142704184948,-0.013565815986315077,0.0004381699127965755,7.114136860674324
0.3697916666666667,19791.666666666653,-13.724654846451001,0.018287284693895532,-0.013618360010307959,0.000441570784215131,7.114091759837664
0.36979430636248617,19794.306362486135,-13.724606744834468,0.01814814124230227,-0.01359707877347479,0.0004401917885049492,7.114063294919159
0.36983222794858617,19832.227948586133,-13.724029035930172,0.0108981766040709,-0.009108066159534993,0.00019751635515825354,7.113714512125925
0.36983333333333335,19833.333333333314,-13.724017163728305,0.010581971532241304,-0.008885870468028028,0.00018799689041564918,7.113707145842397
0.36983535797945416,19835.357979454126,-13.723996331373225,0.009995264802955858,-0.008470788453100888,0.00017084346908854134,7.113694183908383
0.3698700081306277,19870.00813062767,-13.72382653033757,0.0001317084832455248,-0.000997368065503798,2.3684358525875907e-6,7.113582945182049
0.36987083333333337,19870.833333333336,-13.723826501679373,-6.167981033793219e-5,-0.0008397652775976645,1.6790612415682914e-6,7.113582717415816
0.3698736515079128,19873.65150791276,-13.723827578398827,-0.0006953979968412971,-0.0003184434570724398,2.414434175053496e-7,7.113582663341705
0.369875,19874.999999999975,-13.72382871139136,-0.0009832758814575825,-7.8857897947933e-5,1.4806114449444326e-8,7.113583019437063
0.3698790199117412,19879.01991174118,-13.723834294343707,-0.0017781508444490307,0.000593787702768754,8.394853237128432e-7,7.113585452958242
0.36990123206972986,19901.232069729824,-13.72390696930586,-0.004161439446302904,0.0029197744761878816,2.0297816647138618e-5,7.113625706052096
0.3699041666666667,19904.166666666668,-13.723919248225938,-0.004195619099001062,0.0030249675585881704,2.1786735072644942e-5,7.113632888032398
0.3699058242415597,19905.824241559676,-13.723926196880969,-0.0041848913460552336,0.0030621053572966266,2.2324974331392143e-5,7.113636981748017
0.36990833333333334,19908.333333333307,-13.723936635511944,-0.0041275132367838965,0.0030875878207070645,2.26980917870919e-5,7.113643171400792
0.3699107993352673,19910.799335267293,-13.723946695008161,-0.004023144996696377,0.0030765315832808043,2.253582519743879e-5,7.11364918305771
0.36991666666666667,19916.66666666664,-13.723969148660162,-0.0035871148834720856,0.002907386372677929,2.0125941714365065e-5,7.113662791960071
0.3699193329951482,19919.332995148143,-13.723978347216262,-0.0033040250791659706,0.002765092013820155,1.820412820212381e-5,7.113668463524344
0.3699364003149099,19936.400314909843,-13.724012275268185,-0.0003689307308237871,0.000961744444243913,2.202267561985793e-6,7.11369108528429
0.36993750000000003,19937.499999999996,-13.72401254566137,-0.0001218441256497169,0.0007979552815974338,1.5160300748315234e-6,7.1136914651728285
0.36994166666666667,19941.666666666635,-13.724011022998145,0.0008657611103928132,0.0001330716286997589,4.216204372572975e-8,7.113691446723221
0.36994513601583345,19945.13601583342,-13.7240065101544,0.0017434771060886641,-0.00046954542761470393,5.249354966520837e-7,7.113689564110396
0.36999862203059364,19998.622030593604,-13.723520120932696,0.015604248832012274,-0.01108041326044922,0.00029232275719604504,7.113413245162442
0.37000000000000005,20000.00000000002,-13.723498461177448,0.015830968113701712,-0.011281793933765218,0.00030304493896176585,7.113400539028897
0.3700041666666667,20004.166666666657,-13.723431186830778,0.016441614971298413,-0.011840301739721806,0.0003337922506849029,7.1133609625093115
0.3700166666666667,20016.666666666682,-13.723217592860744,0.017545054006261038,-0.013007845861389845,0.0004028667951278022,7.113234277811645
0.37002083333333335,20020.83333333332,-13.723144211009295,0.01765640834640579,-0.013212413261361845,0.00041563777187859604,7.113190412836982
0.37002500000000005,20025.000000000015,-13.72307063825305,0.017636681274776793,-0.013319765988746901,0.0004224194428451874,7.113146262148677
0.37002542941326044,20025.42941326041,-13.723063066809933,0.01762721118656847,-0.013325248253555915,0.0004227672405211785,7.1131417087718445
0.3700291666666667,20029.166666666653,-13.722997419815156,0.017486576181989188,-0.013328779722064877,0.0004229913544745902,7.113102152035486
0.3700333333333334,20033.333333333347,-13.722925094746184,0.017208395276836524,-0.013239378208118038,0.00041733603651807337,7.113058408383081
0.3700814509766797,20081.450976679684,-13.722300932571958,0.007129231105612915,-0.006442178135353416,9.881347411339431e-5,7.112671089717999
0.3700833333333334,20083.333333333343,-13.722288002881674,0.006608733550937223,-0.006048624135170514,8.710917602039823e-5,7.112662692367349
0.3700847573067637,20084.75730676368,-13.722278871907577,0.0062161288143922425,-0.005749977951642544,7.871963439136996e-5,7.112656733361429
0.3701083333333334,20108.33333333334,-13.722204643730995,0.0003558605921594944,-0.00108306097506274,2.792907323104412e-6,7.112605244264683
0.3701117155180113,20111.715518011275,-13.722204584298147,-0.00031093196963455756,-0.0005175683986090156,6.378024934254782e-7,7.112604445372657
0.3701125,20112.499999999978,-13.722204885739293,-0.00045702351780636704,-0.00039209517771699647,3.660443533069596e-7,7.112604459788426
0.37011614037025825,20116.140370258217,-13.722207724546513,-0.0010900543366685867,0.00015976953889912629,6.077691800009387e-8,7.112605444909479
0.3701166666666667,20116.66666666667,-13.722208320727239,-0.0011752435737018084,0.00023522442711339012,1.317393597876728e-7,7.112605706335885
0.3701375,20137.499999999975,-13.722257912596296,-0.003094082097603716,0.002184830410000555,1.1365437905864741e-5,7.112633279629098
0.3701398041071016,20139.80410710159,-13.722265078694752,-0.0031198086413231864,0.0022631957587314943,1.2195369148429102e-5,7.112637536791857
0.3701416666666667,20141.666666666668,-13.722270886676792,-0.003112575882292372,0.002305336916719806,1.2653757856169478e-5,7.112641015701455
0.37014504198922543,20145.0419892254,-13.722281286082673,-0.0030358090691348554,0.0023331420470851408,1.2960837647325336e-5,7.11264730845817
0.37014583333333334,20145.833333333307,-13.722283676950894,-0.003006002376466478,0.002330597204209432,1.2932579353021003e-5,7.112648767137
0.3701656596873526,20165.659687352567,-13.722326411944865,-0.0008788739926255135,0.00117926059866843,3.3110846656471998e-6,7.112676326249873
0.3701666666666667,20166.666666666668,-13.72232721041833,-0.0007060827635195928,0.0010683847198092815,2.7177283560046593e-6,7.112676961830393
0.37017083333333334,20170.833333333303,-13.72232857552661,6.568427127514494e-5,0.0005618243206757178,7.515394459588851e-7,7.112678477065244
0.37017272894846037,20172.72894846034,-13.7223280939385,0.0004452480877090533,0.00030709465138109923,2.2454077358780685e-7,7.112678528586961
0.37017500000000003,20175.0,-13.722326546221137,0.0009215368688076355,-1.6814482210954854e-5,6.731590762440887e-10,7.11267802522628
0.37017916666666667,20179.166666666635,-13.722320794075143,0.0018507837943866697,-0.0006603212312540442,1.038152686773469e-6,7.112675396752923
0.3702458333333334,20245.83333333335,-13.721655087015382,0.016426107550904134,-0.012261748861608801,0.00035797734558372553,7.112284501996392
0.37025,20249.99999999999,-13.721585967502584,0.016731905614600907,-0.012605228929156812,0.0003783138008486948,7.112242548567614
0.37025391028367205,20253.910283672016,-13.721520154754439,0.016912045719026162,-0.012849133427538684,0.00039309578533021903,7.11220245294539
0.3702541666666667,20254.166666666682,-13.721515817742786,0.01692019666784591,-0.012862404236223394,0.00039390819699051786,7.112199805619776
0.37025833333333336,20258.33333333332,-13.721445131739308,0.016989107234170617,-0.0130302994967793,0.00040425882137087356,7.112156570830239
0.3702620387815854,20262.03878158539,-13.721382223219354,0.016949736709808337,-0.013103011935492981,0.00040878314709921786,7.112117954004108
0.37026250000000005,20262.50000000002,-13.721374408293798,0.016938229147465286,-0.013106983195056694,0.0004090309725607109,7.112113147548309
