position_parameter_m,velocity_parameter_m_s,x1_m,x2_m,v1_m_s,v2_m_s,Q1_N,Q2_N,dissipation_W
-5.5804900335723994e-8,0.00521967534486512,0.0,-5.5804900335723994e-8,0.0,0.00521967534486512,-4.985053779692403e-7,-7.378581622126428e-7,3.85138005730882e-9
-5.5804900335723994e-8,0.005509657308468738,0.0,-5.5804900335723994e-8,0.0,0.005509657308468738,-5.262001211897536e-7,-7.788502823355674e-7,4.291198150273099e-9
-5.5804900335723994e-8,0.005799639272072356,0.0,-5.5804900335723994e-8,0.0,0.005799639272072356,-5.53894864410267e-7,-8.19842402458492e-7,4.75479019420842e-9
-5.5804900335723994e-8,0.0060896212356759735,0.0,-5.5804900335723994e-8,0.0,0.0060896212356759735,-5.815896076307803e-7,-8.608345225814166e-7,5.242156189114783e-9
-5.5804900335723994e-8,0.006379603199279591,0.0,-5.5804900335723994e-8,0.0,0.006379603199279591,-6.092843508512936e-7,-9.018266427043412e-7,5.753296134992189e-9
-5.5804900335723994e-8,0.006669585162883208,0.0,-5.5804900335723994e-8,0.0,0.006669585162883208,-6.36979094071807e-7,-9.428187628272657e-7,6.288210031840634e-9
-5.5804900335723994e-8,0.006959567126486826,0.0,-5.5804900335723994e-8,0.0,0.006959567126486826,-6.646738372923203e-7,-9.838108829501904e-7,6.846897879660124e-9
-5.5804900335723994e-8,0.007249549090090444,0.0,-5.5804900335723994e-8,0.0,0.007249549090090444,-6.923685805128336e-7,-1.024803003073115e-6,7.429359678450655e-9
-5.5804900335723994e-8,0.007539531053694062,0.0,-5.5804900335723994e-8,0.0,0.007539531053694062,-7.20063323733347e-7,-1.0657951231960394e-6,8.035595428212227e-9
-5.5804900335723994e-8,0.00782951301729768,0.0,-5.5804900335723994e-8,0.0,0.00782951301729768,-7.477580669538604e-7,-1.1067872433189644e-6,8.665605128944847e-9
-5.5804900335723994e-8,0.008119494980901297,0.0,-5.5804900335723994e-8,0.0,0.008119494980901297,-7.754528101743738e-7,-1.1477793634418887e-6,9.319388780648502e-9
-5.5804900335723994e-8,0.008409476944504916,0.0,-5.5804900335723994e-8,0.0,0.008409476944504916,-8.031475533948872e-7,-1.1887714835648136e-6,9.996946383323203e-9
-5.5804900335723994e-8,0.008699458908108533,0.0,-5.5804900335723994e-8,0.0,0.008699458908108533,-8.308422966154004e-7,-1.2297636036877379e-6,1.0698277936968943e-8
-5.518484588754928e-8,-0.008699458908108533,0.0,-5.518484588754928e-8,-0.0,-0.008699458908108533,8.308420494885936e-7,1.2297629365767156e-6,1.0698272133464017e-8
-5.518484588754928e-8,-0.008409476944504916,0.0,-5.518484588754928e-8,-0.0,-0.008409476944504916,8.031473145056405e-7,1.1887708386908253e-6,9.996940960270267e-9
-5.518484588754928e-8,-0.008119494980901297,0.0,-5.518484588754928e-8,-0.0,-0.008119494980901297,7.754525795226874e-7,1.1477787408049346e-6,9.319383725150877e-9
-5.518484588754928e-8,-0.00782951301729768,0.0,-5.518484588754928e-8,-0.0,-0.00782951301729768,7.477578445397343e-7,1.1067866429190443e-6,8.665600428105856e-9
-5.518484588754928e-8,-0.007539531053694062,0.0,-5.518484588754928e-8,-0.0,-0.007539531053694062,7.200631095567811e-7,1.0657945450331535e-6,8.035591069135195e-9
-5.518484588754928e-8,-0.007249549090090444,0.0,-5.518484588754928e-8,-0.0,-0.007249549090090444,6.92368374573828e-7,1.024802447147263e-6,7.429355648238901e-9
-5.518484588754928e-8,-0.006959567126486826,0.0,-5.518484588754928e-8,-0.0,-0.006959567126486826,6.646736395908749e-7,9.838103492613725e-7,6.846894165416971e-9
-5.518484588754928e-8,-0.006669585162883208,0.0,-5.518484588754928e-8,-0.0,-0.006669585162883208,6.369789046079217e-7,9.428182513754819e-7,6.288206620669406e-9
-5.518484588754928e-8,-0.006379603199279591,0.0,-5.518484588754928e-8,-0.0,-0.006379603199279591,6.092841696249688e-7,9.018261534895915e-7,5.753293013996206e-9
-5.518484588754928e-8,-0.0060896212356759735,0.0,-5.518484588754928e-8,-0.0,-0.0060896212356759735,5.815894346420156e-7,8.60834055603701e-7,5.242153345397369e-9
-5.518484588754928e-8,-0.005799639272072356,0.0,-5.518484588754928e-8,-0.0,-0.005799639272072356,5.538946996590624e-7,8.198419577178105e-7,4.754787614872897e-9
-5.518484588754928e-8,-0.005509657308468738,0.0,-5.518484588754928e-8,-0.0,-0.005509657308468738,5.261999646761093e-7,7.7884985983192e-7,4.29119582242279e-9
-5.518484588754928e-8,-0.00521967534486512,0.0,-5.518484588754928e-8,-0.0,-0.00521967534486512,4.985052296931562e-7,7.378577619460294e-7,3.851377968047047e-9
-5.518484588754928e-8,-0.004929693381261502,0.0,-5.518484588754928e-8,-0.0,-0.004929693381261502,4.7081049471020304e-7,6.968656640601389e-7,3.4353340517456683e-9
-5.518484588754928e-8,-0.004639711417657884,0.0,-5.518484588754928e-8,-0.0,-0.004639711417657884,4.431157597272499e-7,6.558735661742483e-7,3.043064073518654e-9
